config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
mpt,mpt,0,4,mixed_sload_sstore,8,64311,100000000,1,176.9734,3283.487,0.0803,18.9208,3479.5597,28.7393,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1472,21946,6.29,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,9,64312,0,0,0.0277,0.2794,0.0089,0.1641,0.5438,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,9,64313,106226,2,0.1005,0.5449,0.423,1.3389,2.4714,42.9815,11,0,0,0,3,0,0,0,1,149,7,4,63.64,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,9,64314,100000000,1,172.1721,3102.9036,0.1038,24.431,3299.6927,30.3059,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1463,21955,6.25,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,10,64315,0,0,0.0319,0.4599,0.0088,0.134,0.7255,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,10,64316,106226,2,0.0437,0.094,0.9933,1.3177,2.4843,42.7589,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,10,64317,100000000,1,171.5942,3140.3541,0.0639,17.4572,3329.5527,30.0341,8,23418,2,1493,2,0,0,0,0,0,4,4,50,1893,21525,8.08,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,11,64318,0,0,0.0091,0.0479,0.0079,0.0439,0.1381,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,11,64319,106226,2,0.0479,0.1053,1.1131,1.7968,3.1009,34.2565,11,0,0,0,3,0,0,0,1,149,5,6,45.45,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,11,64320,100000000,1,177.3184,3104.4917,0.0536,21.0499,3303.0017,30.2755,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1858,21560,7.93,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,12,64321,0,0,0.0375,0.9158,0.0158,0.1116,1.1786,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,12,64322,106226,2,0.1228,0.6001,0.2489,1.3413,2.4455,43.438,11,0,0,0,3,0,0,0,1,149,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,12,64323,100000000,1,177.9941,3105.6908,0.0698,18.549,3302.3979,30.281,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1705,21713,7.28,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,13,64324,0,0,0.0195,0.7125,0.0134,0.12,0.9318,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,13,64325,106226,2,0.1045,0.1001,0.2848,1.2036,1.724,61.6172,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,13,64326,100000000,1,192.4317,3234.9846,0.1196,23.0508,3450.6706,28.9799,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1577,21841,6.73,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,14,64327,0,0,0.0146,0.1117,0.0047,0.058,0.2597,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,14,64328,106226,2,0.0854,0.2135,0.6294,1.5404,2.5537,41.597,11,0,0,0,3,0,0,0,1,149,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,14,64329,100000000,1,178.1832,3098.5441,0.0672,18.1446,3294.9995,30.349,8,23418,2,1493,2,0,0,0,0,0,2,6,25,1303,22115,5.56,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,15,64330,0,0,0.0305,0.1681,0.0085,0.1139,0.4002,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,15,64331,106226,2,0.1092,0.0938,0.7732,2.117,3.1298,33.9407,11,0,0,0,3,0,0,0,1,149,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,15,64332,100000000,1,178.1054,3179.3337,0.059,17.1314,3374.7042,29.6322,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1742,21676,7.44,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,16,64333,0,0,0.0092,0.0473,0.0094,0.0447,0.1402,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,16,64334,106226,2,0.2091,0.3807,0.7675,2.0322,3.6324,29.2441,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,16,64335,100000000,1,170.3305,3234.4076,0.0663,19.8775,3424.7669,29.1991,8,23418,2,1493,2,0,0,0,0,0,4,4,50,2194,21224,9.37,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,17,64336,0,0,0.0101,0.0458,0.0078,0.0444,0.1397,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,17,64337,106226,2,0.116,0.2128,0.3253,2.2811,2.9804,35.6417,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,17,64338,100000000,1,174.3706,3161.6505,0.0746,16.2613,3352.4788,29.8287,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1941,21477,8.29,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,18,64339,0,0,0.02,0.4507,0.0082,0.1018,0.6462,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,18,64340,106226,2,0.1061,0.1286,0.2248,1.6762,2.1863,48.5872,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,18,64341,100000000,1,183.1231,3091.2653,0.0878,17.8712,3292.4082,30.3729,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1539,21879,6.57,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,19,64342,0,0,0.0285,0.4929,0.0077,0.1218,0.7218,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,19,64343,106226,2,0.1977,0.3036,0.7797,1.7096,3.144,33.7871,11,0,0,0,3,0,0,0,1,149,7,4,63.64,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,19,64344,100000000,1,170.7114,3237.7366,0.0609,19.2708,3427.9125,29.1723,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,2412,21006,10.3,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,20,64345,0,0,0.0098,0.0488,0.0106,0.0581,0.1672,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,20,64346,106226,2,0.1345,0.2595,0.6317,1.809,2.9192,36.3881,11,0,0,0,3,0,0,0,1,149,5,6,45.45,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,20,64347,100000000,1,179.8163,3167.7353,0.1089,18.9918,3366.7572,29.7022,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1642,21776,7.01,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,21,64348,0,0,0.0293,0.5068,0.0118,0.1319,0.7518,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,21,64349,106226,2,0.0694,0.1293,0.4414,1.4069,2.0881,50.8717,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,21,64350,100000000,1,184.0106,3112.9551,0.0606,18.3237,3315.442,30.1619,8,23418,2,1493,2,0,0,0,0,0,4,4,50,1203,22215,5.14,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,22,64351,0,0,0.0156,0.3443,0.0043,0.0546,0.4656,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,22,64352,106226,2,0.1338,0.5835,0.32,1.6738,2.8538,37.2225,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,22,64353,100000000,1,180.6608,3138.8376,0.0626,17.5618,3337.2082,29.9652,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1728,21690,7.38,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,23,64354,0,0,0.0302,0.7908,0.0172,0.1277,1.0434,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,23,64355,106226,2,0.1095,0.6834,0.307,1.1888,2.3505,45.1929,11,0,0,0,3,0,0,0,1,149,5,6,45.45,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,23,64356,100000000,1,185.2016,3258.857,0.0655,16.2374,3460.4806,28.8977,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1605,21813,6.85,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,24,64357,0,0,0.0093,0.0492,0.0106,0.0441,0.1457,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,24,64358,106226,2,0.0698,0.1183,0.3043,1.6753,2.2155,47.9477,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,24,64359,100000000,1,183.4801,3133.1163,0.182,26.5334,3343.4166,29.9095,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1271,22147,5.43,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,25,64360,0,0,0.0098,0.0499,0.0094,0.0462,0.1516,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,25,64361,106226,2,0.2101,0.1934,0.8635,1.6606,3.0018,35.3878,11,0,0,0,3,0,0,0,1,149,5,6,45.45,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,25,64362,100000000,1,179.2482,3192.4335,0.0856,20.2979,3392.1497,29.4798,8,23418,2,1493,2,0,0,0,0,0,2,6,25,1544,21874,6.59,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,26,64363,0,0,0.0096,0.0505,0.0104,0.0485,0.149,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,26,64364,106226,2,0.104,0.1792,0.2603,1.2139,1.7891,59.3737,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,26,64365,100000000,1,179.3099,3167.8165,0.0689,19.3695,3366.6596,29.703,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1329,22089,5.68,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,27,64366,0,0,0.0227,0.3814,0.0094,0.1291,0.6067,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,27,64367,106226,2,0.048,0.0894,0.7197,1.764,2.6532,40.0373,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,27,64368,100000000,1,188.4197,3190.6775,0.0919,16.0664,3395.4549,29.4511,8,23418,2,1493,2,0,0,0,0,0,4,4,50,1816,21602,7.75,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,28,64369,0,0,0.0304,0.5331,0.0115,0.1185,0.7665,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,28,64370,106226,2,0.0584,0.1172,1.49,1.8061,3.5091,30.2715,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,28,64371,100000000,1,179.7006,3195.2091,0.0739,18.5488,3393.6644,29.4667,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,2346,21072,10.02,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,29,64372,0,0,0.0189,0.4716,0.006,0.0786,0.6279,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,29,64373,106226,2,0.1007,0.18,0.666,1.5068,2.526,42.0536,11,0,0,0,3,0,0,0,1,149,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,29,64374,100000000,1,182.5411,3132.6531,0.0935,17.499,3332.8851,30.004,8,23418,2,1493,2,0,0,0,0,0,4,4,50,1462,21956,6.24,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,30,64375,0,0,0.0138,0.4454,0.0056,0.0897,0.6012,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,30,64376,106226,2,0.0627,0.2325,1.0091,1.4162,2.7616,38.4659,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,30,64377,100000000,1,184.0201,3154.1334,0.087,41.2761,3379.622,29.5891,8,23418,2,1493,2,0,0,0,0,0,4,4,50,1434,21984,6.12,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,31,64378,0,0,0.0113,0.0702,0.0114,0.0702,0.2051,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,31,64379,106226,2,0.0602,0.1122,0.996,1.576,2.787,38.1145,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,31,64380,100000000,1,182.1392,3131.7273,0.0785,20.599,3334.6408,29.9882,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1473,21945,6.29,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,32,64381,0,0,0.0181,0.5629,0.0073,0.1089,0.7653,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,32,64382,106226,2,0.3064,0.3642,0.7946,1.9609,3.5169,30.2045,11,0,0,0,3,0,0,0,1,149,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,32,64383,100000000,1,185.5401,3174.8366,0.1152,25.7241,3386.3225,29.5306,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1883,21535,8.04,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,33,64384,0,0,0.0147,0.1248,0.0049,0.0576,0.2503,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,33,64385,106226,2,0.0605,0.1585,1.2508,1.8054,3.3163,32.031,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,33,64386,100000000,1,192.5118,3160.3409,0.1205,39.8927,3392.923,29.4731,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1620,21798,6.92,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,34,64387,0,0,0.0246,0.5011,0.0073,0.1019,0.7147,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,34,64388,106226,2,0.1083,0.6757,0.4141,1.4744,2.7453,38.6934,11,0,0,0,3,0,0,0,1,149,7,4,63.64,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,34,64389,100000000,1,184.8171,3094.1271,0.054,19.263,3298.3653,30.318,8,23418,2,1493,2,0,0,0,0,0,4,4,50,1337,22081,5.71,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,35,64390,0,0,0.0088,0.049,0.0091,0.0455,0.1434,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,35,64391,106226,2,0.0906,0.2931,1.0647,1.7612,3.2895,32.2927,11,0,0,0,3,0,0,0,1,149,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,35,64392,100000000,1,180.3476,3033.4302,0.0704,19.7552,3233.6871,30.9245,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,1442,21976,6.16,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,36,64393,106226,2,0.0573,0.1363,0.8082,0.6049,1.6659,63.7653,11,0,0,0,3,0,0,0,1,149,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,mixed_sload_sstore,36,64394,100000000,1,184.4202,3107.2534,0.0978,22.907,3314.7729,30.168,8,23418,2,1493,2,0,0,0,0,0,3,5,37.5,2219,21199,9.48,2,0,100,1493,0
mpt,mpt,0,4,mixed_sload_sstore,37,64395,106226,2,0.0677,0.1934,1.2285,0.4349,1.9805,53.6346,11,0,0,0,3,0,0,0,1,149,5,6,45.45,0,0,0,0,0,0,0,0
