config,trie_type,group_depth,pebble_block_size_kb,benchmark,run,block_number,gas_used,tx_count,execution_ms,state_read_ms,state_hash_ms,commit_ms,total_ms,mgas_per_sec,accounts_read,storage_slots_read,code_read,code_bytes_read,accounts_written,accounts_deleted,storage_slots_written,storage_slots_deleted,code_written,code_bytes_written,account_cache_hits,account_cache_misses,account_cache_hit_rate,storage_cache_hits,storage_cache_misses,storage_cache_hit_rate,code_cache_hits,code_cache_misses,code_cache_hit_rate,code_cache_hit_bytes,code_cache_miss_bytes
mpt,mpt,0,4,erc20_balanceof,9,64017,100000000,1,290.9543,4945.6061,0.0697,26.2843,5263.0381,19.0004,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,2074,34668,5.64,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,10,64018,89662,2,0.0737,0.6099,0.2823,4.1628,5.1915,17.2708,11,0,0,0,3,0,0,0,1,72,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,10,64019,100000000,1,283.3715,4788.904,0.0565,31.8669,5104.2612,19.5915,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,2578,34164,7.02,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,11,64020,0,0,0.0259,0.7371,0.0041,0.0547,0.9149,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,11,64021,89662,2,0.1026,0.0792,0.7689,6.511,7.5103,11.9385,11,0,0,0,3,0,0,0,1,72,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,11,64022,100000000,1,276.437,4833.6895,0.0813,33.2388,5143.5243,19.4419,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,2228,34514,6.06,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,12,64023,0,0,0.0123,0.054,0.0076,0.1245,0.2282,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,12,64024,89662,2,0.0748,0.2683,0.1635,3.413,4.0847,21.9508,11,0,0,0,3,0,0,0,1,72,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,12,64025,100000000,1,285.3924,4946.5851,0.063,23.9088,5256.0553,19.0257,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,3066,33676,8.34,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,13,64026,0,0,0.0147,0.0654,0.0084,0.0544,0.1819,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,13,64027,89662,2,0.0435,0.0767,0.7823,4.8052,5.7547,15.5807,11,0,0,0,3,0,0,0,1,72,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,13,64028,100000000,1,268.4927,4945.9613,0.0553,26.4859,5241.0636,19.0801,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,2082,34660,5.67,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,14,64029,0,0,0.0088,0.05,0.0138,0.0508,0.1599,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,14,64030,89662,2,0.0549,0.0921,0.35,5.9397,6.482,13.8324,11,0,0,0,3,0,0,0,1,72,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,14,64031,100000000,1,281.2551,4873.2196,0.0482,31.1002,5185.7064,19.2838,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,2126,34616,5.79,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,15,64032,0,0,0.0215,0.7915,0.0071,0.1036,1.0032,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,15,64033,89662,2,0.1176,0.0722,0.2785,5.9682,6.4697,13.8587,11,0,0,0,3,0,0,0,1,72,6,5,54.55,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,15,64034,100000000,1,288.9541,4940.1419,0.0994,44.3523,5273.6524,18.9622,8,36742,2,1416,2,0,0,0,0,0,4,4,50,2934,33808,7.99,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,16,64035,0,0,0.0394,0.0469,0.0091,0.0578,0.1832,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,16,64036,89662,2,0.0485,0.1166,0.9365,5.0052,6.1455,14.5899,11,0,0,0,3,0,0,0,1,72,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,16,64037,100000000,1,283.8615,4978.4171,0.0551,32.1649,5294.6837,18.8869,8,36742,2,1416,2,0,0,0,0,0,3,5,37.5,1819,34923,4.95,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,17,64038,0,0,0.0178,0.0557,0.0276,0.1209,0.2792,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,17,64039,89662,2,0.052,0.2164,0.4697,4.6701,5.478,16.3675,11,0,0,0,3,0,0,0,1,72,7,4,63.64,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,17,64040,100000000,1,287.1171,4955.8456,0.0568,32.2925,5275.4037,18.9559,8,36742,2,1416,2,0,0,0,0,0,4,4,50,1872,34870,5.09,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,18,64041,0,0,0.0298,0.8345,0.0045,0.0883,1.0494,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,18,64042,89662,2,0.1462,0.1139,0.8716,4.1466,5.3135,16.8745,11,0,0,0,3,0,0,0,1,72,4,7,36.36,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,18,64043,100000000,1,273.429,4826.9805,0.0453,27.8175,5128.3507,19.4994,8,36742,2,1416,2,0,0,0,0,0,4,4,50,2611,34131,7.11,2,0,100,1416,0
mpt,mpt,0,4,erc20_balanceof,19,64044,0,0,0.01,0.053,0.0113,0.0651,0.189,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
mpt,mpt,0,4,erc20_balanceof,19,64045,89662,2,0.0546,0.1491,0.3034,4.118,4.663,19.2285,11,0,0,0,3,0,0,0,1,72,4,7,36.36,0,0,0,0,0,0,0,0
